username,followers,posts,engagement_rate,verified,avg_likes,category,avg_likes_filled,clean_followers
emma_watson,3500000,245,4.2,True,147000,entertainment,147000,
tech_daily,890000,512,2.1,False,18700,tech,18700,
travel_vibes,1200000,384,3.5,True,42000,travel,42000,
fitness_coach,650000,289,5.1,False,33150,fitness,33150,
foodie_adventures,2100000,678,2.8,True,58800,food,58800,
photography_pro,1450000,411,4.7,True,68150,photography,68150,
makeup_guru,2800000,523,3.9,True,109200,beauty,109200,
music_producer,950000,156,6.2,False,58900,music,58900,
nature_explorer,1750000,445,3.3,False,57750,nature,57750,
style_insider,1320000,389,4.1,True,54120,fashion,54120,
gaming_hub,2200000,687,2.7,False,59400,gaming,59400,
wellness_coach,880000,267,5.3,True,46640,health,46640,
art_studio,640000,234,4.6,False,29440,art,29440,
coffee_lover,1100000,501,2.9,True,31900,lifestyle,31900,
business_tips,1550000,423,3.8,False,58900,business,58900,
